,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
469,Waitress,2007,2007,PG-13,108 min,"Comedy,Drama,Romance",7.0,"47,208",$19.07M,75,Director:Adrienne Shelly,"Stars:Keri Russell, Nathan Fillion, Jeremy Sisto, Cheryl Hines"
470,The Old Man & the Gun,2018,2018,UA,93 min,"Biography,Comedy,Crime",6.7,"47,033",$11.28M,80,Director:David Lowery,"Stars:Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover"
471,One Fine Day,1996,1996,U,108 min,"Comedy,Drama,Romance",6.5,"46,976",$46.15M,56,Director:Michael Hoffman,"Stars:Michelle Pfeiffer, George Clooney, Mae Whitman, Alex D. Linz"
472,Varsity Blues,1999,1999,R,106 min,"Comedy,Drama,Romance",6.5,"46,878",$52.89M,50,Director:Brian Robbins,"Stars:James Van Der Beek, Jon Voight, Paul Walker, Ron Lester"
473,"New York, I Love You",2008,2008,R,103 min,"Comedy,Drama,Romance",6.2,"46,721",$1.59M,49,"Directors:Fatih Akin, Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai, Wen Jiang, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner","Stars:Shia LaBeouf, Natalie Portman, Bradley Cooper, Hayden Christensen"
474,White Christmas,1954,1954,,120 min,"Comedy,Musical,Romance",7.5,"46,481",$30.00M,56,Director:Michael Curtiz,"Stars:Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen"
475,You Will Meet a Tall Dark Stranger,2010,2010,R,98 min,"Comedy,Drama,Romance",6.3,"46,316",$3.25M,51,Director:Woody Allen,"Stars:Anthony Hopkins, Naomi Watts, Josh Brolin, Gemma Jones"
476,Better Off Dead...,1985,1985,,97 min,"Comedy,Romance",7.1,"46,193",$10.30M,51,Director:Savage Steve Holland,"Stars:John Cusack, David Ogden Stiers, Kim Darby, Demian Slade"
477,Coupling,2000,2004,,30 min,"Comedy,Romance",8.6,"46,076",,,,"Stars:Jack Davenport, Gina Bellman, Sarah Alexander, Kate Isitt"
478,Roxanne,1987,1987,U,107 min,"Comedy,Romance",6.6,"45,989",$40.05M,73,Director:Fred Schepisi,"Stars:Steve Martin, Daryl Hannah, Rick Rossovich, Shelley Duvall"
479,Fever Pitch,2005,2005,U,104 min,"Comedy,Drama,Romance",6.2,"45,924",$42.07M,56,"Directors:Bobby Farrelly, Peter Farrelly","Stars:Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler"
480,Baby Mama,2008,2008,UA,99 min,"Comedy,Romance",6.0,"45,849",$60.27M,55,Director:Michael McCullers,"Stars:Tina Fey, Amy Poehler, Sigourney Weaver, Greg Kinnear"
481,Monte Carlo,2011,2011,PG,109 min,"Adventure,Comedy,Family",5.8,"45,832",$23.19M,43,Director:Thomas Bezucha,"Stars:Selena Gomez, Leighton Meester, Katie Cassidy, Cory Monteith"
482,A Rainy Day in New York,2019,2019,PG-13,92 min,"Comedy,Romance",6.5,"45,695",,38,Director:Woody Allen,"Stars:Timothée Chalamet, Elle Fanning, Liev Schreiber, Suzanne Smith"
483,Happy Feet Two,2011,2011,U,117 min,"Animation,Adventure,Comedy",5.8,"45,627",$64.01M,50,"Directors:George Miller, Gary Eck, David Peers","Stars:Elijah Wood, Robin Williams, Pink, Carlos Alazraqui"
